Date,Open,High,Low,Close,Adj Close,Volume
17/10/2023,15009.25977,15187.05957,14932.76953,15122.00977,15122.00977,4417640000
18/10/2023,15022.28027,15103.87012,14865.80957,14909.25977,14909.25977,4617140000
19/10/2023,14981.12988,15023.91016,14749.29981,14783.12988,14783.12988,5014790000
20/10/2023,14752.58984,14781.21973,14552.12012,14560.87988,14560.87988,4622840000
23/10/2023,14514.11035,14746.37012,14419.05957,14604.84961,14604.84961,4669060000
24/10/2023,14678.41016,14774.16016,14610.33008,14745.86035,14745.86035,4604720000
25/10/2023,14642.08008,14643.69043,14362.24023,14381.63965,14381.63965,4599850000
26/10/2023,14314.00977,14372.50977,14058.33008,14109.57031,14109.57031,4894900000
27/10/2023,14245.75,14321.04004,14130.37012,14180.41992,14180.41992,4172100000
30/10/2023,14283.98047,14388.2002,14225.86035,14335.50977,14335.50977,4149320000
31/10/2023,14340.86035,14420.44043,14232.40039,14409.78027,14409.78027,4315630000
1/11/2023,14453.67969,14677.86035,14441.88965,14664.91016,14664.91016,4545120000
2/11/2023,14856.9502,14930.75977,14792.80957,14919.54981,14919.54981,4962950000
3/11/2023,14985.12012,15149.78027,14965.29004,15099.49023,15099.49023,4918750000
6/11/2023,15137.16016,15180.19043,15064.91016,15154.92969,15154.92969,4345850000
7/11/2023,15201.76953,15335.44043,15153.30957,15296.01953,15296.01953,4354460000
8/11/2023,15313.90039,15343.19043,15220.87988,15313.24023,15313.24023,4685550000
9/11/2023,15351.12012,15382.11035,15171.32031,15187.90039,15187.90039,5313970000
10/11/2023,15252.36035,15535.2002,15237.16992,15529.12012,15529.12012,4722140000
13/11/2023,15469.20996,15524.66016,15404.70996,15482.79004,15482.79004,4349590000
14/11/2023,15744.36035,15850.33984,15726.12012,15812.46973,15812.46973,5332490000
15/11/2023,15881.71973,15904.62988,15765.30957,15817.17969,15817.17969,5063830000
16/11/2023,15765.2002,15842.62988,15738.21973,15833.16992,15833.16992,4545180000
17/11/2023,15803.98047,15876.87012,15766.94043,15837.99023,15837.99023,4408640000
20/11/2023,15845.2002,16056.75977,15844.83008,16027.05957,16027.05957,4561810000
21/11/2023,15951.54981,15968.08984,15866.82031,15933.62012,15933.62012,4128600000
22/11/2023,16025.74023,16119.30957,15964.04004,16001.38965,16001.38965,3855240000
24/11/2023,15974.84961,16007.42969,15940.62012,15982.00977,15982.00977,2541840000
27/11/2023,15969.71973,16045.29981,15932.19043,15961.98047,15961.98047,4205880000
28/11/2023,15940.29004,16031.51953,15921.07031,16010.42969,16010.42969,4474400000
29/11/2023,16111.36035,16166.50977,15976.69043,15987.59961,15987.59961,4890220000
30/11/2023,15987.66016,16013.48047,15825.66992,15947.87012,15947.87012,5678070000
1/12/2023,15892.58984,16013.75,15834.92969,15997.58008,15997.58008,5607000000
4/12/2023,15837.12012,15852.4502,15695.58008,15839.66992,15839.66992,6270020000
5/12/2023,15763.65039,15931.83984,15760.58984,15877.70996,15877.70996,6179120000
6/12/2023,15990.2002,15990.94043,15776.9502,15788.04981,15788.04981,5167030000
7/12/2023,15888.23047,16042.50977,15875.48047,16022.49023,16022.49023,5694310000
8/12/2023,15952.84961,16100.86035,15937.58008,16084.69043,16084.69043,5430840000
11/12/2023,16069.62012,16232.25977,16061.87012,16221.73047,16221.73047,5607820000
12/12/2023,16209.61035,16354.25,16175.45996,16354.25,16354.25,4950100000
13/12/2023,16392.17969,16581.03906,16357.20996,16562.36914,16562.36914,6732040000
14/12/2023,16603.53906,16660.71094,16419.25977,16537.83008,16537.83008,8033170000
15/12/2023,16587,16669.76953,16557.00977,16623.44922,16623.44922,8377630000
18/12/2023,16631.10938,16764.32031,16629.28906,16729.80078,16729.80078,5866080000
19/12/2023,16734.25,16813.00977,16733.38086,16811.84961,16811.84961,5757180000
20/12/2023,16763.64063,16860.67969,16552.06055,16554.16016,16554.16016,6294700000
21/12/2023,16719.60938,16768.01953,16621.51953,16757.41016,16757.41016,5465640000
22/12/2023,16799.01953,16839.25,16703.57031,16777.40039,16777.40039,4796600000
26/12/2023,16816.7793,16907.50977,16813.57031,16878.46094,16878.46094,6120600000
27/12/2023,16896.14063,16922.00977,16859.55078,16906.80078,16906.80078,7480170000
28/12/2023,16963.51953,16969.16992,16891.32031,16898.4707,16898.4707,5090570000
29/12/2023,16902.43945,16919.50977,16757.89063,16825.92969,16825.92969,5441060000
2/01/2024,16667.30078,16686.59961,16453.15039,16543.93945,16543.93945,5791170000
3/01/2024,16413.25977,16471.08008,16352.13965,16368.49023,16368.49023,5449950000
4/01/2024,16290.78027,16419.43945,16276.42969,16282.00977,16282.00977,5289220000
5/01/2024,16281.74023,16415.39063,16249.19043,16305.98047,16305.98047,5232820000
8/01/2024,16354.21973,16655.23047,16349.38965,16649.86914,16649.86914,6337770000
9/01/2024,16531.96094,16710.88086,16513.73047,16678.69922,16678.69922,5068410000
10/01/2024,16702.55078,16827.36914,16654.74023,16793.05078,16793.05078,4404590000
11/01/2024,16852.18945,16898.16016,16618.85938,16820.90039,16820.90039,5044690000
12/01/2024,16855,16900.36914,16776.91992,16832.91992,16832.91992,4958940000
16/01/2024,16775.09961,16895.33008,16726.58984,16830.71094,16830.71094,6386180000
17/01/2024,16705.50977,16749.10938,16561.49023,16736.2793,16736.2793,5181740000
18/01/2024,16894.33008,16996.98047,16818.13086,16982.28906,16982.28906,5587440000
19/01/2024,17060.14063,17317.21094,17041.84961,17314,17314,5604950000
22/01/2024,17403.61914,17450.30078,17309.86914,17330.38086,17330.38086,5456240000
23/01/2024,17346.94922,17410.85938,17286.01953,17404.21094,17404.21094,5207680000
24/01/2024,17562.32031,17665.25977,17481.9707,17499.30078,17499.30078,4983210000
25/01/2024,17589.26953,17631.33984,17430.36914,17516.99023,17516.99023,5281570000
26/01/2024,17432.86914,17514.75977,17395.53906,17421.00977,17421.00977,4510530000
29/01/2024,17438.0293,17603.94922,17414.61914,17596.26953,17596.26953,4979310000
30/01/2024,17556.49023,17578.46094,17443.76953,17476.71094,17476.71094,4719240000
31/01/2024,17269.98047,17375.32031,17128.74023,17137.24023,17137.24023,5875610000
1/02/2024,17216.99023,17356.75977,17175.83008,17344.71094,17344.71094,5046920000
2/02/2024,17415.93945,17682.28906,17378.36914,17642.73047,17642.73047,4800690000
5/02/2024,17634.68945,17655.76953,17469.61914,17613.03906,17613.03906,4831020000
6/02/2024,17664.43945,17680.61914,17475.42969,17572.73047,17572.73047,4759640000
7/02/2024,17674.58984,17784.16992,17637.73047,17755.07031,17755.07031,4567580000
8/02/2024,17757.59961,17814.11914,17728.55078,17783.16992,17783.16992,5675850000
9/02/2024,17820.98047,17987.90039,17798.81055,17962.41016,17962.41016,5797260000
12/02/2024,17942.2793,18041.44922,17859.66016,17882.66016,17882.66016,5458490000
13/02/2024,17519.80078,17717.66992,17478.23047,17600.41992,17600.41992,5599860000
14/02/2024,17728.90039,17815.17969,17619.91992,17807.63086,17807.63086,5092660000
15/02/2024,17815.32031,17864.58984,17722.31055,17845.7207,17845.7207,6049100000
16/02/2024,17853.58984,17864.16016,17663.40039,17685.98047,17685.98047,5223800000
20/02/2024,17591.16992,17657.08008,17399.41016,17546.09961,17546.09961,5595700000
21/02/2024,17412.78906,17482.13086,17319.43945,17478.91016,17478.91016,4845740000
22/02/2024,17857.75977,18034.80078,17808.25977,18004.69922,18004.69922,5653930000
23/02/2024,18052.58984,18091.61914,17902.7793,17937.60938,17937.60938,5077910000
26/02/2024,17970.21094,18014.10938,17926.66016,17933.33008,17933.33008,5417630000
27/02/2024,17962.58008,17987.53906,17871.06055,17971.05078,17971.05078,5423020000
28/02/2024,17895.0293,17931.00977,17840.35938,17874.5,17874.5,5581690000
29/02/2024,17991.66992,18068.51953,17866.25977,18043.84961,18043.84961,6265340000
1/03/2024,18069.28906,18333.25977,18064.43945,18302.91016,18302.91016,5457910000
4/03/2024,18290.09961,18313.42969,18218.25,18226.48047,18226.48047,5725470000
5/03/2024,18088.71094,18097.5,17804.5,17897.86914,17897.86914,6356800000
6/03/2024,18083.50977,18142.88086,17941.64063,18017.57031,18017.57031,5511370000
7/03/2024,18161.73047,18337.94922,18101.42969,18297.99023,18297.99023,5072790000
8/03/2024,18312.78906,18416.73047,17995.38086,18018.44922,18018.44922,5411790000
