Date,Opening Price,Closing Price
30-Aug-22,4041.25,3986.16
29-Aug-22,4034.58,4030.61
26-Aug-22,4198.74,4057.66
25-Aug-22,4153.26,4199.12
24-Aug-22,4126.55,4140.77
23-Aug-22,4133.09,4128.73
22-Aug-22,4195.08,4137.99
19-Aug-22,4266.31,4228.48
18-Aug-22,4273.13,4283.74
17-Aug-22,4280.4,4274.04
16-Aug-22,4290.46,4305.2
15-Aug-22,4269.37,4297.14
12-Aug-22,4225.02,4280.15
11-Aug-22,4227.4,4207.27
10-Aug-22,4181.02,4210.24
9-Aug-22,4133.11,4122.47
8-Aug-22,4155.93,4140.06
5-Aug-22,4115.87,4145.19
4-Aug-22,4154.85,4151.94
3-Aug-22,4107.96,4155.17
2-Aug-22,4104.21,4091.19
2-Aug-22,4104.21,4091.19
1-Aug-22,4112.38,4118.63
29-Jul-22,4087.33,4130.29
28-Jul-22,4026.13,4072.43
27-Jul-22,3951.43,4023.61
26-Jul-22,3953.22,3921.05
25-Jul-22,3965.72,3966.84
22-Jul-22,3998.43,3961.63
21-Jul-22,3955.47,3998.95
20-Jul-22,3935.32,3959.9
19-Jul-22,3860.73,3936.69
18-Jul-22,3883.79,3830.85
15-Jul-22,3818,3863.16
14-Jul-22,3763.99,3790.38
13-Jul-22,3779.67,3801.78
12-Jul-22,3851.95,3818.8
11-Jul-22,3880.94,3854.43
8-Jul-22,3888.26,3899.38
7-Jul-22,3858.85,3902.62
6-Jul-22,3831.98,3845.08
5-Jul-22,3792.61,3831.39
1-Jul-22,3781,3825.33
30-Jun-22,3785.99,3785.38
29-Jun-22,3825.09,3818.83
28-Jun-22,3913,3821.55
27-Jun-22,3920.76,3900.11
24-Jun-22,3821.75,3911.74
23-Jun-22,3774.71,3795.73
22-Jun-22,3733.89,3759.89
21-Jun-22,3715.31,3764.79
17-Jun-22,3665.9,3674.84
16-Jun-22,3728.18,3666.77
15-Jun-22,3764.05,3789.99
14-Jun-22,3763.52,3735.48
13-Jun-22,3838.15,3749.63
10-Jun-22,3974.39,3900.86
9-Jun-22,4101.65,4017.82
8-Jun-22,4147.12,4115.77
7-Jun-22,4096.47,4160.68
6-Jun-22,4134.72,4121.43
3-Jun-22,4137.57,4108.54
2-Jun-22,4095.41,4176.82
1-Jun-22,4149.78,4101.23
31-May-22,4151.09,4132.15
27-May-22,4077.43,4158.24
26-May-22,3984.6,4057.84
25-May-22,3929.59,3978.73
24-May-22,3942.94,3941.48
23-May-22,3919.42,3973.75
20-May-22,3927.76,3901.36
19-May-22,3899,3900.79
18-May-22,4051.98,3923.68
17-May-22,4052,4088.85
16-May-22,4013.02,4008.01
13-May-22,3963.9,4023.89
12-May-22,3903.95,3930.08
11-May-22,3990.08,3935.18
10-May-22,4035.18,4001.05
9-May-22,4081.27,3991.24
6-May-22,4128.17,4123.34
5-May-22,4270.43,4146.87
4-May-22,4181.18,4300.17
3-May-22,4159.78,4175.48
2-May-22,4130.61,4155.38
29-Apr-22,4253.75,4131.93
28-Apr-22,4222.58,4287.5
27-Apr-22,4186.52,4183.96
26-Apr-22,4278.14,4175.2
25-Apr-22,4255.34,4296.12
22-Apr-22,4385.83,4271.78
21-Apr-22,4489.17,4393.66
20-Apr-22,4472.26,4459.45
19-Apr-22,4390.63,4462.21
18-Apr-22,4385.63,4391.69
14-Apr-22,4449.12,4392.59
13-Apr-22,4394.3,4446.59
12-Apr-22,4437.59,4397.45
11-Apr-22,4462.64,4412.53
8-Apr-22,4494.15,4488.28
7-Apr-22,4474.65,4500.21
6-Apr-22,4494.17,4481.15
5-Apr-22,4572.45,4525.12
4-Apr-22,4547.97,4582.64
1-Apr-22,4540.32,4545.86
31-Mar-22,4599.02,4530.41
30-Mar-22,4624.2,4602.45
29-Mar-22,4602.86,4631.6
28-Mar-22,4541.09,4575.52
25-Mar-22,4522.91,4543.06
24-Mar-22,4469.98,4520.16
23-Mar-22,4493.1,4456.24
22-Mar-22,4469.1,4511.61
21-Mar-22,4462.4,4461.18
18-Mar-22,4407.34,4463.12
17-Mar-22,4345.11,4411.67
16-Mar-22,4288.14,4357.86
15-Mar-22,4188.82,4262.45
14-Mar-22,4202.75,4173.11
11-Mar-22,4279.5,4204.31
10-Mar-22,4252.55,4259.52
9-Mar-22,4223.1,4277.88
8-Mar-22,4202.66,4170.7
7-Mar-22,4327.01,4201.09
4-Mar-22,4342.12,4328.87
3-Mar-22,4401.31,4363.49
2-Mar-22,4322.56,4386.54
1-Mar-22,4363.14,4306.26
28-Feb-22,4354.17,4373.94
