id,course,mode,tutorial,studio,major
a6a02813-e003-4541-9793-f89054d46d6f,IN20,FT,TUT 1,STU 1,IN20MJR-BUSANAL
4aba937d-ddb1-4c7c-af93-3f256df52480,IN27,PT,TUT 5,STU 3, 
2efc3757-f256-4bb0-b996-68ba8cfe23f6,IN27,FT,TUT 2,STU 2, 
bdcb0d37-fd4b-4a0f-b118-ca836dbc116b,IN27,FP,TUT 1,STU 1, 
60020c24-804c-494b-94a4-88dfc4c91e13,IN20,FT,TUT 5,STU 1,IN20MJR-DATASC
e3dc34f5-530a-4f42-a55a-38e1194ba6ef,IN27,PT,TUT 5,STU 3, 
1e47ee7e-33a9-4a54-ba86-2299fb59402a,IN27,PT,TUT 2,STU 3, 
d25949fa-9fee-46ac-8ea9-84989dc09326,IN27,FT,TUT 2,STU 3, 
490b3b5e-8fe7-4f75-bf89-5865505c8888,IN27,PT,,,IN27MJR-STATDAT
0c6f586b-8c40-4336-8413-39378f1fc8a7,IN20,FT,TUT 5,STU 3,IN20MJR-COMPSC
960fc7d8-4a2a-4684-8c70-8c1e56f66067,IN27,FT,TUT 2,STU 2, 
481c52bb-8c42-4a09-b71d-803537340c6d,IN27,FT,TUT 1,STU 3, 
45d91d7e-6ca9-4011-b10d-69c371a43ca4,IN20,FT,TUT 2,STU 2,IN20MJR-BUSANAL
52557fa2-3c3a-4832-9c58-44a9e8e84aaa,IN27,FT,TUT 3,STU 2,IN27MJR-STATDAT
e97b7ed0-ee76-4aeb-a2e0-e9e459a4611e,IN27,FT,TUT 1,STU 3,IN27MJR-STATDAT
12c44f13-507f-4c61-b875-375dc93f7a44,IN27,FT,TUT 2,STU 2, 
d2617974-95cc-4ac1-8abd-780365031a73,IN27,FT,TUT 2,STU 2,IN27MJR-STATDAT
30c4d336-5389-4dd0-b6de-d16f078e717c,IN27,FP,TUT 5,STU 3,IN27MJR-STATDAT
430d3de5-e1a5-494e-8308-f8074da1555d,IN20,FT,TUT 5,STU 3,IN20MJR-SECUR
c889da55-6b41-4866-8bc2-875b8bacf824,IN20,PT,TUT 1,STU 1,IN20MJR-BUSANAL
023c1302-e899-4dba-91da-cbcf42dd125b,IN27,FT,TUT 6,STU 1,IN27MJR-STATDAT
ca8ae12f-4856-4aba-a78a-c6c7f4fd774e,IN27,FT,TUT 6,STU 3,IN27MJR-BIOMEDS
9db07057-a0a9-4527-8963-09d74d994f07,IN27,FT,TUT 6,STU 3, 
08cd7624-e164-4925-bc68-65539b4f1ae2,IN27,FP,TUT 5,STU 3,IN27MJR-STATDAT
f188e518-5d94-49fb-b82e-4138904cb0ce,IN27,FT,TUT 5,STU 3,IN27MJR-COMPDAT
e04eb631-3b6c-4127-91b2-be13437eee14,IN27,PT,TUT 5,STU 3, 
d67f7cbc-a8a3-4e79-b566-e2103b3dbc6c,IN27,FT,TUT 2,STU 1,IN27MJR-STATDAT
a6044ec0-3a84-4085-a4df-46c9f726ceeb,,PT,TUT 1,STU 3,
5b135448-3c60-405c-9eaa-5ebf51206a6d,IN20,FT,TUT 6,STU 2,IN20MJR-SECUR
